filename,width,height,class,xmin,ymin,xmax,ymax
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,1063,877,1125,908
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,1063,706,1108,756
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,1235,753,1293,800
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,1213,603,1275,672
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,1161,487,1237,548
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,1092,397,1206,469
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,1233,219,1279,363
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,1004,3,1098,84
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,1190,29,1269,108
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,1348,1,1405,51
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,1163,156,1224,211
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,543,13,687,129
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,348,37,393,105
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,480,337,558,406
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,204,330,267,418
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,135,480,188,589
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,163,666,219,768
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,229,1074,264,1139
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,308,1042,367,1108
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,440,1132,504,1177
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,525,1055,590,1126
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,575,910,625,1006
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,640,806,727,901
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,750,105,801,161
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,1011,501,1058,606
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,1183,861,1235,964
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,1166,1026,1230,1085
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,1169,1155,1237,1200
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,1359,1108,1413,1192
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,1482,1119,1543,1200
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,1464,987,1540,1061
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,1393,680,1458,761
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,866,1013,925,1076
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,761,987,809,1018
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,679,1047,748,1097
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,888,1124,983,1193
AS_MS_7517_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,1035,1063,1083,1100
YI_MS_D8_71917_DG_IBA1_20x_6.jpg,1600,1200,Microglia,435,451,474,511
YI_MS_D8_71917_DG_IBA1_20x_6.jpg,1600,1200,Microglia,856,241,906,286
YI_MS_D8_71917_DG_IBA1_20x_6.jpg,1600,1200,Microglia,433,160,485,222
YI_MS_D8_71917_DG_IBA1_20x_6.jpg,1600,1200,Microglia,619,19,654,69
YI_MS_D8_71917_DG_IBA1_20x_6.jpg,1600,1200,Microglia,713,1,758,60
YI_MS_D8_71917_DG_IBA1_20x_6.jpg,1600,1200,Microglia,663,239,714,292
YI_MS_D8_71917_DG_IBA1_20x_6.jpg,1600,1200,Microglia,550,377,601,426
YI_MS_D8_71917_DG_IBA1_20x_6.jpg,1600,1200,Microglia,825,421,900,469
YI_MS_D8_71917_DG_IBA1_20x_6.jpg,1600,1200,Microglia,1027,410,1098,468
YI_MS_D8_71917_DG_IBA1_20x_6.jpg,1600,1200,Microglia,996,745,1029,795
YI_MS_D8_71917_DG_IBA1_20x_6.jpg,1600,1200,Microglia,1300,811,1333,845
YI_MS_D8_71917_DG_IBA1_20x_6.jpg,1600,1200,Microglia,1006,906,1051,947
YI_MS_D8_71917_DG_IBA1_20x_6.jpg,1600,1200,Microglia,1022,816,1079,860
YI_MS_D8_71917_DG_IBA1_20x_6.jpg,1600,1200,Microglia,621,876,658,919
YI_MS_D8_71917_DG_IBA1_20x_6.jpg,1600,1200,Microglia,619,808,667,856
YI_MS_D8_71917_DG_IBA1_20x_6.jpg,1600,1200,Microglia,151,816,198,866
YI_MS_D8_71917_DG_IBA1_20x_6.jpg,1600,1200,Microglia,925,1035,961,1080
YI_MS_D8_71917_DG_IBA1_20x_6.jpg,1600,1200,Microglia,1153,1050,1201,1103
YI_MS_D8_71917_DG_IBA1_20x_6.jpg,1600,1200,Microglia,1182,330,1230,398
YI_MS_D8_71917_DG_IBA1_20x_6.jpg,1600,1200,Microglia,25,932,56,979
YI_MS_D8_71917_DG_IBA1_20x_6.jpg,1600,1200,Microglia,29,700,72,743
YI_MS_D8_71917_DG_IBA1_20x_6.jpg,1600,1200,Microglia,630,1147,677,1190
YI_MS_D8_71917_DG_IBA1_20x_6.jpg,1600,1200,Microglia,722,593,753,629
YI_MS_D8_71917_DG_IBA1_20x_6.jpg,1600,1200,Microglia,1395,458,1435,521
YI_MS_D8_71917_DG_IBA1_20x_6.jpg,1600,1200,Microglia,1285,460,1325,513
AI_MS_D8_71917_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,609,364,651,408
AI_MS_D8_71917_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,504,97,542,129
AI_MS_D8_71917_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,721,1,756,35
AI_MS_D8_71917_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,1058,419,1090,460
AI_MS_D8_71917_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,1079,730,1117,771
AI_MS_D8_71917_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,1145,726,1174,785
AI_MS_D8_71917_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,1422,808,1466,850
AI_MS_D8_71917_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,1551,424,1593,466
AI_MS_D8_71917_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,1493,150,1537,198
AI_MS_D8_71917_CA1_IBA1_20x_1.jpg,1600,1200,Microglia,1463,24,1511,66
